項番,町名,Geo3x3,内容,解決策
1,瓜生町,E913873223436488,車のスピードが早く、歩道が途中からなく、歩行者のすぐわきを車が通っている。,歩道の設置
2,瓜生町,E913849889467167,交通量が増加しているうえ、わき道からの流入もある為、登下校になかなか横断できない。,押しボタン式の信号機の設置
3,稲寄町、高木町,E913849897578386,"地下道　
・大雨時に冠水の恐れ
・人通り、車通りが少なく不審者がでる恐れ",
4,稲寄町、高木町,E913849897288851,"地下道　
・大雨時に冠水の恐れ
・人通り、車通りが少なく不審者がでる恐れ",
5,稲寄町、高木町,E913849897572761,オートバックスと整骨院の間に小さな穴が空いていて、足がはまりやすい。,側溝の老朽化
6,長土呂,E913849897197644,S字カーブで見通しが悪い。車の交通量がある。   歩道がない。,
7,馬上免,E913849897125512,"片屋戸谷線
交通量があり、スピードを出す車もあり信号の変わり目など、危険を感じる。",
8,国高3丁目,E913849894795217,交通量が多く、歩道も無く危険を感じる。,
9,村国4丁目,E913849886889735,特高電線の鉄塔があり、近くの空き地で子供が遊んでいる。ボールなどで遊ぶとフェンス内に入りそうで危険,
10,村国4丁目,E913849886897699,道幅が狭いわりに交通量が多く危険を感じる。,
12,塚町,E913849894822616,・地下道に大雨が降ったとき、冠水の可能性がある。・地下道は人通り、車通りが少なく、不審者が出る恐れがある。・地下道の明かりとりの屋根が老朽化で穴が空いていて、屋根材や雪の重みで落下しそうで危険。,
13,庄町　,E913849895136544,普段点滅信号なので赤信号でも止まらない車がある。,
14,庄町　,E913849895135445,歩道がなくて道幅が狭いので危険,
14,庄町　,E913849895129827,歩道がなくて道幅が狭いので危険,
15,横市　,E913849894324375,・横断歩道箇所が信号もなくて見通しも悪く危険を感じる。・歩道がなく交通量も多い為危険を感じる。,
16,横市　,E913849894236356,・ドンキホーテが出来てから交通量がさらに増えた。・交差点周辺の交通量も激しく危険を感じる。,
17,国高１丁目　,E913849894196133,新しいゴミ置き小屋が設置され、交差点での死角が出来た。,
18,国高２丁目,E913849886655976,式部会館の駐車場がゴミ回収場所になっており、集団登校の時間帯に車でゴミを出しに来る方がいる。,
19,国高２丁目,E913849886612638,"交差点にガードレールや柵が無く、車同士が衝突事故を起こした時に歩道に乗り上げてくる可能性ある（交差点歩道にはポールが2,３本ほどあるだけ）",
20,村国3丁目　,E913849886551352,側道から車が急に出て来る。サンサン遊歩道で自転車をとばしてくる子がたまにいるので危険,
21,村国3丁目　,E913849886462239,交差点の見通しが悪く、事故が多い。,
22,八幡,E913849886715314,ファミリーマートから堤防までの道をスピードを出す車が多い。この区間歩道が無く、白線も消えている,
23,八幡,E913849885934596,確認不十分な状態で出てくる車が多い。,
24,村国１、２丁目,E913849885337982,押しボタンの信号機ですが、冬はボタンが凍結していて子供の力では押せない。,
25,村国１、２丁目,E913849885337982,融雪が使用された際、水が溜まります。,
26,村国１、２丁目,E913849882695831,歩行者用信号が無い為、事故が多い。,
27,稲寄町、高木町,E913849897578372,地下道前「止まれ」の道路標示が磨耗しており、地下道の蛍光灯が消えかかっている,道路標示の塗り直し、地下道蛍光灯を明るいものに取り替える
28,稲寄町,E913849897467383,減速して走行する車が少ないため、大人が停止を促さなければ児童が横断できない,道路標示の見直しと警察への交通取締りを要望
29,長土呂町,E913849897198121,長土呂公園の通学路がクランクになっているため、車と接触する危険性が高い,公園内を通学路に利用
30,長土呂町,E913849897168228,長土呂公園に面する南北道で内側を走行する車が多く危険,内側にゴムポールの設置を検討
31,国高三丁目,E913849894495163,集団登校する児童と車の交通量が多い道路であり、歩道がなく接触事故や田畑へ落下する危険性が高い。グリーンベルトも磨耗している,歩道の確保やガードレール、注意喚起の看板設置を検討。グリーンベルトの塗り直し
32,国高一丁目、村国三丁目,E913849886642626,道路の見通しが悪く、特に冬場は除雪作業中に児童が巻き込まれないか不安,カーブミラー設置
33,村国三丁目,E913849886435646,路上駐車が多いため、子どもが死角になり危険である,
34,国高一丁目,E913849886376788,児童が歩道ブロックの上を歩いており危険,
35,国高一丁目,E913849886359463,南北を走行する車の速度が速い,飛び出し注意看板の設置
36,国高一丁目,E913849894171451,カーブミラーの設置状況が悪いため車や自転車、歩行者が確認できない,カーブミラーの修正、飛び出し注意看板の設置
37,押田二丁目,E913849886322557,見通しが悪く、自転車や歩行者の横断が見えにくい,カーブミラーや注意喚起看板の設置を検討
38,押田一丁目,E913849883953448,スピードを出して走行する車が多い,道路の色分け等で注意喚起が必要
39,押田一丁目,E913849886311247,保育園が近いため交通量が多い,飛び出し注意看板の設置
40,村国二丁目、村国三丁目,E913849886124832,カーブしており横断歩道が分かりにくい,飛び出し注意看板の設置
41,国高三丁目,E913849894798955,国高交番の東西を走る道路幅が狭く危険,
42,横市町,E913849895136463,道路幅が狭いため、児童は側溝蓋の上を歩いている。また、押しボタン式点滅信号に従わない車もあり危険である,側溝蓋の強化
43,高木町,E913849897648489,幅広い用水路があるため落下する危険がある,防護柵等の設置
44,押田二丁目、横市町,E913849891873784,用水路に落下する危険がある,防護柵等の設置
45,瓜生町,E913849889887492,交通量が多く、渡れない。車の速度が速く、危険。,
46,瓜生町,E913849889467159,車が止まってくれないので、生徒が渡れない。,
47,高木町,E913849897587173,大雨時、冠水の恐れあり,地下道は人通り、車通りが少なく、不審者が出る恐れがある。,
48,長土呂町,E913849897195763,見通しが悪い上に、車の速度が速く危険。,
49,稲寄町,E913849889156611,交通量が多く、危険。,
50,稲寄町, E913849889263218,手押し信号で、赤でも突進してくる車がある。運転手は奥の信号しか見ていない可能性がある。,
51,国高三丁目,E913849894798845,車の飛び出しがある。,
52,国高三丁目,E913849894762157,歩道が狭く危険,緑の線が消えている。,
53,横市町,E913849894821451,車の飛び出しがある。,
54,横市町,E913849894822435,地下歩道の天井が割れていて危ない。,
55,庄町,E913849894291879,横断歩道が欲しい。,
56,横市町,E913849894264563,不審者、危険（歩道橋神社側）,
57,横市町,E913849894265568,自転車が早く走るので、ぶつかりそう（歩道橋降り口）,
58,横市町,E913849895136547,歩道が狭く危険。,
59,国高三丁目、村国四丁目,E913849886945951, 歩道が狭く危険,用水路のﾌﾀががたがたで転ぶ。歩道が狭い為、下校時に歩道からはみ出て横並びで下校している。一時停止しない車が多い。,
60,国高三丁目,E913849886693177,曲がり角で、自転車とぶつかりそう。,
61,国高二丁目,E913849894431767,歩道の段差が危ない。,
62,国高一丁目,E913849886356847,車の速度が速く、危険。,
63,国高一丁目,E913849886612653,横断歩道用の信号が欲しい。,
64,村国三丁目、村国四丁目,E913849886723443,交通量が多く、危険。,
65,村国三丁目、村国四丁目,E913849886731354,車の飛び出しがある。,
66,村国三丁目,E913849886462238,交差点の見通しが悪く、事故が多い。側道から一旦停止せず、車が急に出て来る。,
67,村国三丁目,E913849886451351,交差点の見通しが悪く、事故が多い。側道から一旦停止せず、車が急に出て来る。,
68,村国三丁目,E913849886179877,交差点の見通しが悪く、事故が多い。側道から一旦停止せず、車が急に出て来る。,
